[21/11/2023 14:52:25] [INFO] received Windows console close event; shutting log-core down
[21/11/2023 14:58:19] [INFO] received Windows console close event; shutting log-core down
[21/11/2023 15:02:22] [INFO] received Windows console close event; shutting log-core down
[21/11/2023 15:03:22] [INFO] received Windows console close event; shutting log-core down
[21/11/2023 15:05:06] [INFO] received Windows console close event; shutting log-core down
[21/11/2023 17:23:38] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:21:33] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:31:39] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:32:32] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:33:39] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:34:41] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:37:10] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:43:54] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:47:13] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 12:54:38] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 13:50:21] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 14:04:13] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 14:04:51] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 14:08:25] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 14:18:20] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 14:25:57] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 15:51:42] [INFO] received Windows console close event; shutting log-core down
[02/02/2024 15:52:46] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/02/2024 15:52:46] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Unhandled Exception Handler catched; shutting log-core down
[02/02/2024 15:52:46] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/02/2024 15:52:46] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
